,Unnamed: 0,picker_host,wms_sku_id,sku_name,sku_weight_g,sku_dimensions_mm,task_success,pick_success,place_success,task_total,pick_total,place_total,p
3398,3398,ropi04,1435853,Mäspoma BIO Cibule sušená,17.0,"[150, 110, 9]",13,13.0,13.0,13,13,13,1.0
3448,3448,ropi04,1466296,Topnatur Low Carb kaše Mandlová,63.0,"[170, 115, 10]",13,6.0,6.0,14,14,6,0.42857142857142855
3449,3449,ropi04,1466927,Hello Ovocná přesnídávka XXL s mangem kapsička,220.0,"[192, 98, 30]",9,9.0,9.0,9,9,9,1.0
3454,3454,ropi04,1467062,Alnatura BIO Sweet Chai,77.0,"[75, 120, 65]",3,3.0,3.0,3,3,3,1.0
3513,3513,ropi04,1491550,Swad Korma curry hotová omáčka,260.0,"[180, 135, 10]",2,2.0,2.0,2,2,2,1.0
3514,3514,ropi04,1491555,Swad Tikka Masala hotová omáčka,260.0,"[180, 135, 10]",2,2.0,2.0,2,2,2,1.0
3577,3577,ropi04,1756995,Šufan Čokoládová bezlepková kaše,260.0,"[245, 145, 30]",3,3.0,3.0,3,3,3,1.0
3578,3578,ropi04,1757001,Šufan Jablečná bezlepková kaše,260.0,"[245, 145, 30]",2,2.0,2.0,2,2,2,1.0
3582,3582,ropi04,1757277,Nissin Instantní nudlová polévka Hot Chilli Spicy,82.0,"[113, 99, 99]",1,1.0,1.0,1,1,1,1.0
3583,3583,ropi04,1757283,Nissin Instantní nudlová polévka Tasty Chicken,79.0,"[113, 99, 99]",5,5.0,5.0,5,5,5,1.0
3584,3584,ropi04,1757289,Nissin Instantní nudlová polévka 5 Spices Beef,80.0,"[113, 99, 99]",8,8.0,8.0,8,8,8,1.0
3606,3606,ropi04,1760391,Gerber Organic BIO Nemléčná kaše s příchutí sušenky,240.0,"[195, 144, 41]",1,1.0,1.0,1,1,1,1.0
3607,3607,ropi04,1760397,Gerber Organic BIO Nemléčná kaše s příchutí vanilky,240.0,"[195, 144, 41]",1,1.0,1.0,1,1,1,1.0
3622,3622,ropi04,1761603,FruchtBar BIO Kukuřičné křupky se sýrem nesolené,33.0,"[210, 145, 55]",1,1.0,1.0,1,1,1,1.0
3626,3626,ropi04,1761627,FruchtBar BIO Boloňská omáčka,200.0,"[155, 98, 40]",1,1.0,1.0,1,1,1,1.0
3753,3753,ropi04,1804335,Pumpkin Organics BIO 6 zrnná kaše s pohankou,239.0,"[200, 130, 44]",1,1.0,1.0,1,1,1,1.0
3795,3795,ropi04,1809399,"Babybio BIO Ravioli s dýňovou nádivkou, rajčatovým pyré a žampiony",195.0,"[139, 126, 60]",2,2.0,2.0,2,2,2,1.0
3796,3796,ropi04,1809405,"Babybio BIO Ravioli s ementálem, pyré ze sladkých brambor a francouzským kozím sýrem",195.0,"[139, 126, 60]",1,1.0,1.0,1,1,1,1.0
3809,3809,ropi04,1810101,Benlian Rýžový chléb sezam a sůl bez lepku,100.0,"[160, 90, 90]",2,2.0,2.0,2,2,2,1.0
3810,3810,ropi04,1810113,Benlian Rýžový chléb lněným semínkem a slunečnicí bez lepku,100.0,"[160, 90, 90]",4,4.0,4.0,4,4,4,1.0
3848,3848,ropi04,1823589,Emco Ovesná kaše neporcovaná natural,470.0,"[170, 122, 75]",10,11.0,11.0,11,11,11,1.0
3855,3855,ropi04,1827579,Labeta Jíška světlá bez lepku,282.0,"[195, 145, 30]",3,3.0,3.0,3,3,3,1.0
3888,3888,ropi04,1829481,NOMINAL Bezlepková cereální kaše Nomina lahodná,339.0,"[190, 145, 45]",5,5.0,5.0,5,5,5,1.0
3889,3889,ropi04,1829487,NOMINAL Bezlepková cereální kaše Nomina Nomík,339.0,"[190, 145, 45]",18,18.0,18.0,18,18,18,1.0
3890,3890,ropi04,1829499,NOMINAL Bezlepková směs na chléb rustikální,539.0,"[190, 145, 45]",7,7.0,7.0,7,7,7,1.0
3891,3891,ropi04,1829505,NOMINAL Nomix bezlepková mouka,539.0,"[190, 145, 45]",4,4.0,4.0,4,4,4,1.0
3892,3892,ropi04,1829829,Labeta Muffiny bez lepku,545.0,"[195, 145, 45]",1,1.0,1.0,1,1,1,1.0
3893,3893,ropi04,1829841,Labeta Perník bez lepku,500.0,"[195, 145, 45]",5,5.0,5.0,5,5,5,1.0
3919,3919,ropi04,1832109,Lagris Rýže parboiled varné sáčky,438.0,"[170, 125, 46]",11,11.0,11.0,11,11,11,1.0
3920,3920,ropi04,1832115,Lagris Rýže loupaná varné sáčky,438.0,"[170, 125, 46]",6,5.0,5.0,6,6,5,0.8333333333333334
3921,3921,ropi04,1832133,Lagris Rýže kulatozrnná varné sáčky,438.0,"[170, 125, 46]",2,2.0,2.0,2,2,2,1.0
3925,3925,ropi04,1833711,Semix Vícezrnná chia kaše brusinka,67.0,"[135, 105, 18]",7,7.0,7.0,7,7,7,1.0
3988,3988,ropi04,1835787,Gerber Cereal Mléčná kaše banánová Dobrou noc,238.0,"[195, 136, 48]",2,2.0,2.0,2,2,2,1.0
3996,3996,ropi04,899310,Kotányi Pepř bílý mletý,20.0,"[10, 103, 140]",5,5.0,5.0,11,5,5,1.0
4025,4025,ropi04,900639,Holle BIO Rýžová kaše,300.0,"[62, 126, 204]",1,1.0,1.0,1,1,1,1.0
4043,4043,ropi04,901767,HiPP BIO První obilná kaše 100% ovesná,244.0,"[47, 128, 202]",3,3.0,3.0,3,3,3,1.0
4063,4063,ropi04,903297,Vitana Polévka rajská,80.0,"[17, 128, 154]",7,7.0,7.0,7,7,7,1.0
4095,4095,ropi04,905370,Country Life Otruby ovesné,250.0,"[44, 107, 163]",7,7.0,7.0,7,7,7,1.0
4104,4104,ropi04,906360,Nestlé Sinlac Nemléčná kaše,559.0,"[210, 144, 62]",4,4.0,4.0,4,4,4,1.0
4124,4124,ropi04,907260,HiPP BIO První obilná kaše 100% kukuřičná,241.0,"[199, 129, 46]",1,1.0,1.0,1,1,1,1.0
4127,4127,ropi04,907524,Vitana Hovězí polévka,62.0,"[15, 127, 157]",6,6.0,6.0,6,6,6,1.0
4128,4128,ropi04,907527,Vitana Poctivá Bramboračka s houbami,104.0,"[27, 144, 196]",6,6.0,6.0,6,6,6,1.0
4129,4129,ropi04,907530,Vitana Poctivá Gulášová polévka,108.0,"[28, 145, 193]",6,6.0,6.0,6,6,6,1.0
4140,4140,ropi04,908124,Šmajstrla Pohanková krupice,404.0,"[43, 155, 175]",7,4.0,4.0,7,7,4,0.5714285714285714
4166,4166,ropi04,910011,Kotányi Guláš,30.0,"[11, 102, 139]",7,7.0,7.0,10,7,7,1.0
4176,4176,ropi04,911298,"Kotányi Šafrán 0,12g",4.0,"[10, 103, 139]",8,8.0,8.0,13,8,8,1.0
4196,4196,ropi04,914016,Kotányi Kopr sušený,10.0,"[13, 103, 139]",16,15.0,15.0,16,16,15,0.9375
4208,4208,ropi04,915927,Vitana Salátové koření,30.0,"[12, 97, 136]",5,5.0,5.0,5,5,5,1.0
4217,4217,ropi04,916947,Kotányi Salát Tsatsiki,16.0,"[11, 89, 134]",2,1.0,1.0,5,2,1,0.5
4232,4232,ropi04,918456,Bonavita Chia kaše oves s malinami,70.0,"[18, 117, 158]",5,5.0,5.0,5,5,5,1.0
4237,4237,ropi04,919299,Kotányi Nové koření mleté,18.0,"[11, 103, 139]",10,10.0,10.0,10,10,10,1.0
4248,4248,ropi04,920883,Vitana Pyramidky koření brambory,20.0,"[27, 108, 148]",3,3.0,3.0,3,3,3,1.0
4249,4249,ropi04,920892,Yum Yum Instantní nudlová polévka hovězí,100.0,"[47, 81, 94]",3,3.0,3.0,3,3,3,1.0
4299,4299,ropi04,928407,Knorr Snack Těstoviny Carbonara se sýrovou omáčkou a slaninou,70.0,"[102, 93, 93]",7,7.0,7.0,7,7,7,1.0
4300,4300,ropi04,928413,Knorr Snack Bramborová kaše se slaninou a cibulí,80.0,"[101, 93, 94]",1,1.0,1.0,1,1,1,1.0
4311,4311,ropi04,929034,Knorr Nudle s rajčatovou polévkou,80.0,"[172, 120, 33]",4,4.0,4.0,4,4,4,1.0
4355,4355,ropi04,937425,Vitana Citronovo-bylinková zálivka tekutá,66.0,"[160, 100, 17]",6,6.0,6.0,6,6,6,1.0
4358,4358,ropi04,938022,Nestlé Yogolino Mléčný dezert s kakaem,432.0,"[127, 127, 62]",6,6.0,6.0,6,6,6,1.0
4384,4384,ropi04,944256,Koření od Antonína Bejby špagety,44.0,"[130, 86, 80]",3,3.0,3.0,3,3,3,1.0
4385,4385,ropi04,944298,Koření od Antonína Italské těstoviny,40.0,"[130, 86, 80]",2,3.0,3.0,3,3,3,1.0
4388,4388,ropi04,945009,Druid Vegetariánská brokolicová pomazánka bez lepku,104.0,"[28, 83, 83]",1,1.0,1.0,1,1,1,1.0
4389,4389,ropi04,945150,Mixit Malé křupavé ovoce,150.0,"[130, 100, 100]",4,4.0,4.0,4,4,4,1.0
4403,4403,ropi04,946968,Kotányi Šalvěj krájená,10.0,"[140, 104, 10]",3,3.0,3.0,3,3,3,1.0
4415,4415,ropi04,949827,Country Life BIO Třtinová šťáva sušená,253.0,"[145, 100, 50]",1,1.0,1.0,1,1,1,1.0
4423,4423,ropi04,959166,Labeta Chléb kmínový,560.0,"[200, 150, 45]",5,5.0,5.0,5,5,5,1.0
4424,4424,ropi04,959259,Nutrifree světlý chléb bez lepku,158.0,"[130, 150, 40]",3,3.0,3.0,3,3,3,1.0
4429,4429,ropi04,959994,REJ Rejfínci kukuřičný snack jahodový,30.0,"[200, 130, 45]",2,2.0,2.0,2,2,2,1.0
4432,4432,ropi04,961185,Druid Vegetariánská pomazánka s hlívou ústřičnou bez lepku,106.0,"[28, 83, 83]",11,11.0,11.0,11,11,11,1.0
4433,4433,ropi04,961221,NOMINAL BIO Nomina Cereální kaše pohanková,346.0,"[190, 145, 45]",5,5.0,5.0,5,5,5,1.0
4434,4434,ropi04,961506,Extrudo Crispins BIO protein křehký plátek,140.0,"[145, 125, 48]",9,9.0,9.0,9,9,9,1.0
4435,4435,ropi04,961515,Extrudo Crispins BIO cizrnový křehký plátek,136.0,"[145, 125, 48]",3,3.0,3.0,3,3,3,1.0
4451,4451,ropi04,963816,Adveni Tapiokový škrob bez lepku,257.0,"[200, 160, 30]",10,10.0,10.0,10,10,10,1.0
4452,4452,ropi04,963822,Adveni Ovesná mouka bez lepku,257.0,"[200, 160, 30]",11,11.0,11.0,11,11,11,1.0
4465,4465,ropi04,965934,Flipz Preclíky se slaným karamelem,94.0,"[180, 120, 47]",10,10.0,10.0,10,10,10,1.0
4468,4468,ropi04,967887,Avokádo Marináda tekutá pivní medová,98.0,"[150, 110, 12]",5,5.0,5.0,5,5,5,1.0
4486,4486,ropi04,973158,Nutrilon Pronutra Vícezrnná kaše s ovocem,267.0,"[200, 130, 45]",2,2.0,2.0,2,2,2,1.0
4487,4487,ropi04,973197,Nutrilon Pronutra První kaše rýžová s příchutí vanilky,267.0,"[200, 130, 45]",1,1.0,1.0,1,1,1,1.0
4488,4488,ropi04,973200,Nutrilon Pronutra Piškotová kaše se 7 druhy obilovin,267.0,"[200, 130, 45]",1,1.0,1.0,1,1,1,1.0
