,Unnamed: 0,picker_host,wms_sku_id,sku_name,sku_weight_g,sku_dimensions_mm,task_success,pick_success,place_success,task_total,pick_total,place_total,p
1448,1448,ropi02,1374940,Alnatura BIO Gumoví medvídci mix,104.0,"[170, 120, 20]",29,28.0,28.0,29,29,28,0.9655172413793104
1449,1449,ropi02,1375510,Alnatura BIO Směs semínek do salátu,110.0,"[180, 110, 40]",49,49.0,49.0,50,49,49,1.0
1450,1450,ropi02,1376155,Alnatura BIO Dětská kaše ovesno-banánová,286.0,"[170, 125, 45]",19,19.0,19.0,19,19,19,1.0
1467,1467,ropi02,1396393,Hami Mléčná kaše rýžová straciatella,267.0,"[200, 130, 46]",48,48.0,48.0,48,48,48,1.0
1468,1468,ropi02,1396408,Hami Mléčná kaše krupicová medová,267.0,"[200, 130, 46]",36,36.0,36.0,37,36,36,1.0
1470,1470,ropi02,1396573,Hami Mléčná kaše rýžová s vanilkovou příchutí,268.0,"[200, 130, 46]",24,24.0,24.0,24,24,24,1.0
1477,1477,ropi02,1403698,Křehké tyčinky kukuřičné bez lepku,90.0,"[190, 140, 55]",22,22.0,22.0,22,22,22,1.0
1502,1502,ropi02,1422218,REJ Rejfínci kukuřičný snack bez soli,22.0,"[200, 130, 45]",16,15.0,15.0,16,16,15,0.9375
1523,1523,ropi02,1435853,Mäspoma BIO Cibule sušená,17.0,"[150, 110, 9]",45,46.0,46.0,46,46,46,1.0
1577,1577,ropi02,1466296,Topnatur Low Carb kaše Mandlová,63.0,"[170, 115, 10]",63,62.0,61.0,64,64,62,0.96875
1578,1578,ropi02,1466927,Hello Ovocná přesnídávka XXL s mangem kapsička,220.0,"[192, 98, 30]",64,55.0,55.0,64,64,55,0.859375
1580,1580,ropi02,1467062,Alnatura BIO Sweet Chai,77.0,"[75, 120, 65]",1,1.0,1.0,1,1,1,1.0
1637,1637,ropi02,1491550,Swad Korma curry hotová omáčka,260.0,"[180, 135, 10]",1,1.0,1.0,1,1,1,1.0
1638,1638,ropi02,1491555,Swad Tikka Masala hotová omáčka,260.0,"[180, 135, 10]",8,8.0,8.0,8,8,8,1.0
1734,1734,ropi02,1757001,Šufan Jablečná bezlepková kaše,260.0,"[245, 145, 30]",6,6.0,6.0,6,6,6,1.0
1738,1738,ropi02,1757277,Nissin Instantní nudlová polévka Hot Chilli Spicy,82.0,"[113, 99, 99]",5,5.0,5.0,5,5,5,1.0
1739,1739,ropi02,1757283,Nissin Instantní nudlová polévka Tasty Chicken,79.0,"[113, 99, 99]",12,11.0,11.0,12,12,11,0.9166666666666666
1740,1740,ropi02,1757289,Nissin Instantní nudlová polévka 5 Spices Beef,80.0,"[113, 99, 99]",1,1.0,1.0,1,1,1,1.0
1761,1761,ropi02,1760391,Gerber Organic BIO Nemléčná kaše s příchutí sušenky,240.0,"[195, 144, 41]",10,10.0,10.0,10,10,10,1.0
1762,1762,ropi02,1760397,Gerber Organic BIO Nemléčná kaše s příchutí vanilky,240.0,"[195, 144, 41]",4,4.0,4.0,4,4,4,1.0
1784,1784,ropi02,1761603,FruchtBar BIO Kukuřičné křupky se sýrem nesolené,33.0,"[210, 145, 55]",11,7.0,7.0,11,11,7,0.6363636363636364
1788,1788,ropi02,1761627,FruchtBar BIO Boloňská omáčka,200.0,"[155, 98, 40]",3,3.0,3.0,3,3,3,1.0
1789,1789,ropi02,1761633,FruchtBar BIO Ratatouille omáčka,200.0,"[155, 98, 40]",4,4.0,4.0,4,4,4,1.0
1928,1928,ropi02,1804335,Pumpkin Organics BIO 6 zrnná kaše s pohankou,239.0,"[200, 130, 44]",1,1.0,1.0,1,1,1,1.0
1976,1976,ropi02,1809399,"Babybio BIO Ravioli s dýňovou nádivkou, rajčatovým pyré a žampiony",195.0,"[139, 126, 60]",3,3.0,3.0,3,3,3,1.0
1977,1977,ropi02,1809405,"Babybio BIO Ravioli s ementálem, pyré ze sladkých brambor a francouzským kozím sýrem",195.0,"[139, 126, 60]",3,3.0,3.0,3,3,3,1.0
1995,1995,ropi02,1810101,Benlian Rýžový chléb sezam a sůl bez lepku,100.0,"[160, 90, 90]",17,16.0,16.0,17,17,16,0.9411764705882353
2047,2047,ropi02,1823589,Emco Ovesná kaše neporcovaná natural,470.0,"[170, 122, 75]",3,4.0,4.0,4,4,4,1.0
2054,2054,ropi02,1827579,Labeta Jíška světlá bez lepku,282.0,"[195, 145, 30]",3,3.0,3.0,3,3,3,1.0
2059,2059,ropi02,1828425,Loyd pyramida Zelený s pomerančem a mandarinkou,55.0,"[110, 110, 65]",1,1.0,1.0,1,1,1,1.0
2079,2079,ropi02,1829481,NOMINAL Bezlepková cereální kaše Nomina lahodná,339.0,"[190, 145, 45]",1,1.0,1.0,1,1,1,1.0
2080,2080,ropi02,1829487,NOMINAL Bezlepková cereální kaše Nomina Nomík,339.0,"[190, 145, 45]",3,3.0,3.0,3,3,3,1.0
2081,2081,ropi02,1829841,Labeta Perník bez lepku,500.0,"[195, 145, 45]",4,4.0,4.0,4,4,4,1.0
2105,2105,ropi02,1832109,Lagris Rýže parboiled varné sáčky,438.0,"[170, 125, 46]",12,12.0,12.0,12,12,12,1.0
2106,2106,ropi02,1832115,Lagris Rýže loupaná varné sáčky,438.0,"[170, 125, 46]",6,6.0,6.0,6,6,6,1.0
2108,2108,ropi02,1833711,Semix Vícezrnná chia kaše brusinka,67.0,"[135, 105, 18]",1,1.0,1.0,1,1,1,1.0
2176,2176,ropi02,899310,Kotányi Pepř bílý mletý,20.0,"[10, 103, 140]",31,30.0,30.0,53,31,30,0.967741935483871
2189,2189,ropi02,900357,Bionebio BIO Melasky - celozrnné sušenky,138.0,"[74, 110, 162]",6,3.0,3.0,6,6,3,0.5
2203,2203,ropi02,900639,Holle BIO Rýžová kaše,300.0,"[62, 126, 204]",13,13.0,13.0,13,13,13,1.0
2236,2236,ropi02,903297,Vitana Polévka rajská,80.0,"[17, 128, 154]",23,22.0,22.0,23,23,22,0.9565217391304348
2272,2272,ropi02,905370,Country Life Otruby ovesné,250.0,"[44, 107, 163]",28,28.0,28.0,28,28,28,1.0
2280,2280,ropi02,906360,Nestlé Sinlac Nemléčná kaše,559.0,"[210, 144, 62]",24,25.0,24.0,25,25,25,1.0
2298,2298,ropi02,907524,Vitana Hovězí polévka,62.0,"[15, 127, 157]",41,41.0,41.0,44,41,41,1.0
2299,2299,ropi02,907527,Vitana Poctivá Bramboračka s houbami,104.0,"[27, 144, 196]",26,26.0,26.0,26,26,26,1.0
2300,2300,ropi02,907530,Vitana Poctivá Gulášová polévka,108.0,"[28, 145, 193]",82,82.0,82.0,82,82,82,1.0
2311,2311,ropi02,908124,Šmajstrla Pohanková krupice,404.0,"[43, 155, 175]",35,29.0,28.0,37,37,29,0.7837837837837838
2334,2334,ropi02,910011,Kotányi Guláš,30.0,"[11, 102, 139]",85,82.0,82.0,88,86,82,0.9534883720930233
2346,2346,ropi02,911298,"Kotányi Šafrán 0,12g",4.0,"[10, 103, 139]",29,29.0,29.0,60,29,29,1.0
2360,2360,ropi02,914016,Kotányi Kopr sušený,10.0,"[13, 103, 139]",92,89.0,89.0,93,92,89,0.967391304347826
